pin,slack
COREABC_0/SMADDR[4]:LAT,
COREABC_0/SMADDR[4]:Q,14103
COREABC_0/SMADDR[4]:SD,
COREABC_0/SMADDR[4]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:B,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:C,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:IPB,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/CFG_20:IPC,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:CLK,15041
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:D,17154
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:EN,18219
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:Q,15041
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_clock:SLn,
CoreUARTapb_0/un1_nxtprdata_xhdl722_i:A,17195
CoreUARTapb_0/un1_nxtprdata_xhdl722_i:B,15890
CoreUARTapb_0/un1_nxtprdata_xhdl722_i:C,17111
CoreUARTapb_0/un1_nxtprdata_xhdl722_i:Y,15890
COREABC_0/un5_ramwdata_cry_5:A,
COREABC_0/un5_ramwdata_cry_5:B,15853
COREABC_0/un5_ramwdata_cry_5:C,
COREABC_0/un5_ramwdata_cry_5:CC,14971
COREABC_0/un5_ramwdata_cry_5:D,
COREABC_0/un5_ramwdata_cry_5:P,
COREABC_0/un5_ramwdata_cry_5:S,14971
COREABC_0/un5_ramwdata_cry_5:UB,
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:A,17257
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:B,17058
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:C,17144
CoreUARTapb_0/uUART/make_TX/xmit_state_RNIEME51[3]:Y,17058
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:A,17390
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:B,17315
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:C,15004
CoreUARTapb_0/uUART/make_TX/xmit_state_ns_a3[0]:Y,15004
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:A,15146
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:B,13970
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:C,15076
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_bit_cnt_4_i_o2[0]:Y,13970
COREABC_0/INSTR_DATA[4]:ADn,
COREABC_0/INSTR_DATA[4]:ALn,
COREABC_0/INSTR_DATA[4]:CLK,13765
COREABC_0/INSTR_DATA[4]:D,15068
COREABC_0/INSTR_DATA[4]:EN,
COREABC_0/INSTR_DATA[4]:LAT,
COREABC_0/INSTR_DATA[4]:Q,13765
COREABC_0/INSTR_DATA[4]:SD,
COREABC_0/INSTR_DATA[4]:SLn,
COREABC_0/ACCUMULATOR_RNIB4DU[2]:A,17236
COREABC_0/ACCUMULATOR_RNIB4DU[2]:B,17366
COREABC_0/ACCUMULATOR_RNIB4DU[2]:C,17095
COREABC_0/ACCUMULATOR_RNIB4DU[2]:Y,17095
CoreUARTapb_0/uUART/tx_hold_reg[6]:ADn,
CoreUARTapb_0/uUART/tx_hold_reg[6]:ALn,16293
CoreUARTapb_0/uUART/tx_hold_reg[6]:CLK,18487
CoreUARTapb_0/uUART/tx_hold_reg[6]:D,17095
CoreUARTapb_0/uUART/tx_hold_reg[6]:EN,15926
CoreUARTapb_0/uUART/tx_hold_reg[6]:LAT,
CoreUARTapb_0/uUART/tx_hold_reg[6]:Q,18487
CoreUARTapb_0/uUART/tx_hold_reg[6]:SD,
CoreUARTapb_0/uUART/tx_hold_reg[6]:SLn,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:CLK,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:D,16225
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:EN,15657
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:Q,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:SD,
CoreUARTapb_0/uUART/make_RX/rx_shift[1]:SLn,
COREABC_0/UROM_UROM/PROM_ins248_0_a2:A,17374
COREABC_0/UROM_UROM/PROM_ins248_0_a2:B,17331
COREABC_0/UROM_UROM/PROM_ins248_0_a2:C,15068
COREABC_0/UROM_UROM/PROM_ins248_0_a2:D,17037
COREABC_0/UROM_UROM/PROM_ins248_0_a2:Y,15068
CoreUARTapb_0/iPRDATA[1]:ADn,
CoreUARTapb_0/iPRDATA[1]:ALn,16293
CoreUARTapb_0/iPRDATA[1]:CLK,17484
CoreUARTapb_0/iPRDATA[1]:D,17382
CoreUARTapb_0/iPRDATA[1]:EN,15890
CoreUARTapb_0/iPRDATA[1]:LAT,
CoreUARTapb_0/iPRDATA[1]:Q,17484
CoreUARTapb_0/iPRDATA[1]:SD,
CoreUARTapb_0/iPRDATA[1]:SLn,
CoreUARTapb_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a4_0_a2:A,13691
CoreUARTapb_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a4_0_a2:B,14809
CoreUARTapb_0/uUART/make_RX/framing_error_int_0_sqmuxa_0_a4_0_a2:Y,13691
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_21:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_21:IPENn,
COREABC_0/SMADDR_12_iv_6_87_i_m2:A,15086
COREABC_0/SMADDR_12_iv_6_87_i_m2:B,17308
COREABC_0/SMADDR_12_iv_6_87_i_m2:C,15635
COREABC_0/SMADDR_12_iv_6_87_i_m2:Y,15086
CoreUARTapb_0/uUART/make_RX/receive_count[2]:ADn,
CoreUARTapb_0/uUART/make_RX/receive_count[2]:ALn,16293
CoreUARTapb_0/uUART/make_RX/receive_count[2]:CLK,13645
CoreUARTapb_0/uUART/make_RX/receive_count[2]:D,13724
CoreUARTapb_0/uUART/make_RX/receive_count[2]:EN,18219
CoreUARTapb_0/uUART/make_RX/receive_count[2]:LAT,
CoreUARTapb_0/uUART/make_RX/receive_count[2]:Q,13645
CoreUARTapb_0/uUART/make_RX/receive_count[2]:SD,
CoreUARTapb_0/uUART/make_RX/receive_count[2]:SLn,
COREABC_0/ICYCLE_ns_1_0__m5:A,17374
COREABC_0/ICYCLE_ns_1_0__m5:B,17315
COREABC_0/ICYCLE_ns_1_0__m5:Y,17315
FCCC_0/GL0_INST/U0:An,
FCCC_0/GL0_INST/U0:ENn,
FCCC_0/GL0_INST/U0:YNn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:A,17429
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:B,16218
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:C,17272
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:D,17060
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel_RNO[3]:Y,16218
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:A,14147
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:B,14097
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:C,14000
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:D,13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_7:Y,13776
COREABC_0/SMADDR_12_iv_2_137:A,17329
COREABC_0/SMADDR_12_iv_2_137:B,17308
COREABC_0/SMADDR_12_iv_2_137:C,15524
COREABC_0/SMADDR_12_iv_2_137:D,15078
COREABC_0/SMADDR_12_iv_2_137:Y,15078
FCCC_0/CCC_INST/IP_INTERFACE_0:A,
FCCC_0/CCC_INST/IP_INTERFACE_0:B,
FCCC_0/CCC_INST/IP_INTERFACE_0:C,
FCCC_0/CCC_INST/IP_INTERFACE_0:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_0:IPB,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:CLK,15168
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:Q,15168
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[5]:SLn,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:CLK,14110
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:Q,14110
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[1]:SLn,
COREABC_0/UROM_UROM/PROM_ins250_0_a2:A,17374
COREABC_0/UROM_UROM/PROM_ins250_0_a2:B,17343
COREABC_0/UROM_UROM/PROM_ins250_0_a2:C,15068
COREABC_0/UROM_UROM/PROM_ins250_0_a2:D,17037
COREABC_0/UROM_UROM/PROM_ins250_0_a2:Y,15068
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:A,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:B,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:C,16364
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:CC,13860
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:D,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:P,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:S,13860
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr_RNINGQN5[5]:UB,
COREABC_0/un1_ACCUMULATOR_0_s_7:A,
COREABC_0/un1_ACCUMULATOR_0_s_7:B,14500
COREABC_0/un1_ACCUMULATOR_0_s_7:C,14256
COREABC_0/un1_ACCUMULATOR_0_s_7:CC,13253
COREABC_0/un1_ACCUMULATOR_0_s_7:D,14033
COREABC_0/un1_ACCUMULATOR_0_s_7:P,
COREABC_0/un1_ACCUMULATOR_0_s_7:S,13253
COREABC_0/un1_ACCUMULATOR_0_s_7:UB,
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:A,16325
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:B,16194
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:C,16186
CoreUARTapb_0/uUART/make_RX/receive_count_RNO_0[0]:Y,16186
CoreUARTapb_0/uUART/make_RX/receive_full_int:ADn,
CoreUARTapb_0/uUART/make_RX/receive_full_int:ALn,16293
CoreUARTapb_0/uUART/make_RX/receive_full_int:CLK,17142
CoreUARTapb_0/uUART/make_RX/receive_full_int:D,15000
CoreUARTapb_0/uUART/make_RX/receive_full_int:EN,14486
CoreUARTapb_0/uUART/make_RX/receive_full_int:LAT,
CoreUARTapb_0/uUART/make_RX/receive_full_int:Q,17142
CoreUARTapb_0/uUART/make_RX/receive_full_int:SD,
CoreUARTapb_0/uUART/make_RX/receive_full_int:SLn,
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[6]:A,17406
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[6]:B,17382
CoreUARTapb_0/p_NxtPrdataComb_nxtprdata_xhdl7_1_3[6]:Y,17382
CoreUARTapb_0/uUART/tx_hold_reg[2]:ADn,
CoreUARTapb_0/uUART/tx_hold_reg[2]:ALn,16293
CoreUARTapb_0/uUART/tx_hold_reg[2]:CLK,18487
CoreUARTapb_0/uUART/tx_hold_reg[2]:D,17095
CoreUARTapb_0/uUART/tx_hold_reg[2]:EN,15926
CoreUARTapb_0/uUART/tx_hold_reg[2]:LAT,
CoreUARTapb_0/uUART/tx_hold_reg[2]:Q,18487
CoreUARTapb_0/uUART/tx_hold_reg[2]:SD,
CoreUARTapb_0/uUART/tx_hold_reg[2]:SLn,
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:A,17445
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:B,16138
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:C,17313
CoreUARTapb_0/uUART/make_TX/xmit_state_ns[2]:Y,16138
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:CLK,15946
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:D,17282
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:Q,15946
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/xmit_cntr[0]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_5:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_5:IPENn,
COREABC_0/un1_STKPTR_1_N_29_i:A,13741
COREABC_0/un1_STKPTR_1_N_29_i:B,17323
COREABC_0/un1_STKPTR_1_N_29_i:Y,13741
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_4:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_4:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_33:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_33:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_1:CLK,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_1:IPCLKn,
COREABC_0/INSTR_DATA[5]:ADn,
COREABC_0/INSTR_DATA[5]:ALn,
COREABC_0/INSTR_DATA[5]:CLK,13686
COREABC_0/INSTR_DATA[5]:D,15068
COREABC_0/INSTR_DATA[5]:EN,
COREABC_0/INSTR_DATA[5]:LAT,
COREABC_0/INSTR_DATA[5]:Q,13686
COREABC_0/INSTR_DATA[5]:SD,
COREABC_0/INSTR_DATA[5]:SLn,
COREABC_0/ACCUM_NEXT_6_ns[2]:A,17484
COREABC_0/ACCUM_NEXT_6_ns[2]:B,17281
COREABC_0/ACCUM_NEXT_6_ns[2]:C,17125
COREABC_0/ACCUM_NEXT_6_ns[2]:D,13760
COREABC_0/ACCUM_NEXT_6_ns[2]:Y,13760
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:ADn,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:CLK,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:D,13538
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:EN,16028
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:LAT,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:Q,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:SD,
CoreUARTapb_0/uUART/make_TX/tx_xhdl2:SLn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:A,13957
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:B,13907
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:C,13810
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:D,13586
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/UG10_make_baud_cntr2_un2_baud_cntr_1:Y,13586
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:ADn,
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:ALn,16293
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:CLK,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:D,16225
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:EN,15657
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:LAT,
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:Q,17374
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:SD,
CoreUARTapb_0/uUART/make_RX/rx_shift[4]:SLn,
CoreUARTapb_0/iPRDATA[5]:ADn,
CoreUARTapb_0/iPRDATA[5]:ALn,16293
CoreUARTapb_0/iPRDATA[5]:CLK,17484
CoreUARTapb_0/iPRDATA[5]:D,17382
CoreUARTapb_0/iPRDATA[5]:EN,15890
